Customer Complaint,Complaint Category
Real time update about train diversions is not available.,Train Delays & Cancellations
Access was denied to my baggage. ,Luggage & Belongings Issues
I was charged twice for My Ticket BookING.,Ticketing & Reservation Issues
My luggage was missing when I arrived atmy destination.,Luggage & Belongings Issues
Refund claims have stillnot been resolved.,Ticketing & Reservation Issues
There should be a regular bus service between the railway stations.,Train & Station Infrastructure
Ordered meals never reached my compartment.,Food & Catering Issues
Animal waste was being thrown into the rail tracks.,Security & Safety Concerns
Your website states that I could claim compensation. But nothing happened.,Ticketing & Reservation Issues
Online reservations are not available.,Ticketing & Reservation Issues
Indian officials refused to supply information about train timings.,Train & Station Infrastructure
The airconditioning was not Working during the entire journey.,Train & Station Infrastructure
Roads leading up to the station were extremely bad with no maintenance.,Train & Station Infrastructure
Handwriting was not guaranteed when the ticket was booked.,Ticketing & Reservation Issues
By providing incomplete information about train timings.,Train & Station Infrastructure
Insufficient lighting on the platforms at night.,Train & Station Infrastructure
Beef products were NOT permitted to be consumed in the railway premises.,Seat Allocation Issues
Slight leakage of drinking water was occurring inside the train.,Coach Cleanliness & Hygiene
Stray animals were roaming on the railway tracks.,Security & Safety Concerns
Caterers did not provide any food or drink.,Food & Catering Issues
I am being charged double formy ticket bookING.,Ticketing & Reservation Issues
Mumbai Railway Police force was unaware of train timelines.,Train Delays & Cancellations
Refund claims are still pending.,Ticketing & Reservation Issues
Your website cannot be opened.,Ticketing & Reservation Issues
Sea water was being pumped into the compartment.,Coach Cleanliness & Hygiene
Passengers refused to supply information about train timings.,Train & Station Infrastructure
My luggage wasmissing when I arrived atmydestination.,Luggage & Belongings Issues
Forced waiting hall with no proper seating arrangement.,Seat Allocation Issues
The airconditioning wasn’t Working during the entire journey.,Train & Station Infrastructure
Guwait airways employees mistrusted the information given about train timetables.,Train Delays & Cancellations
Okinawa train schedule is highly Unreliable. ,Train Delays & Cancellations
Packages or clothes were stolen from the baggage rack.,Luggage & Belongings Issues
Breaks were NOT offered duringthe entire journey.,Train & Station Infrastructure
"Once again, my ticket was cancelled without any notification.",Ticketing & Reservation Issues
Many trains were delayed bymore than 5 hours.,Train Delays & Cancellations
Refund for my cancellation fee has not been processed yet.,Ticketing & Reservation Issues
Seats inside thetrain weren't allocated even after confirmation.,Seat Allocation Issues
Rescheduled Train Delays Await Their Resolution.,Train Delays & Cancellations
No update about thedelay of the train. ,Train Delays & Cancellations
I am being charged twice formy ticket bookING.,Ticketing & Reservation Issues
Inadequate security measures in the entirecoach.,Security & Safety Concerns
Horses were used as transportation on the railway tracks.,Train & Station Infrastructure
I was denied entry into the train.,Security & Safety Concerns
TTE allotted my reserved seat to another passenger.,Seat Allocation Issues
Enforcement staff refused to provide information about train timelines.,Customer Service & Staff Complaints
Her coat smelled highly decayed.,Food & Catering Issues
As there is NO Security Personnel In The Entire Coach.,Security & Safety Concerns
Partial cancellation of the voyage has occurred.,Ticketing & Reservation Issues
Since there Was No Security Personnel In The Entire Coach.,Security & Safety Concerns
Wild animals or birds were roaming on the Railway Track.,Security & Safety Concerns
Kitchen employees did not serve the food for the entire journey.,Food & Catering Issues
The train schedule is heavily influenced by weather conditions.,Train Delays & Cancellations
This train had unauthorised passengers travelling without tickets.,Ticketing & Reservation Issues
Air conditioning wasn't Working during the entire journey.,Train & Station Infrastructure
UNAUTHORIZED PEOPLE WERE OPENING PURSES.,Security & Safety Concerns
Air conditioning was not working during the entire journey.,Train & Station Infrastructure
Refund for my canceled ticket has not been processing yet.,Ticketing & Reservation Issues
"My wallet was stolen, and no help was provided.",Security & Safety Concerns
Your website is not Working.,Ticketing & Reservation Issues
NCA refused to provide any information about train timelines. ,Train Delays & Cancellations
There was an foulssmell outside the compartment.,Coach Cleanliness & Hygiene
Attendants refused to provide information about Train timing.,Train & Station Infrastructure
Breakfast was NOT served even after confirmed booking.,Ticketing & Reservation Issues
The platform was highly dirty with no cleaning Staff.,Customer Service & Staff Complaints
Passengers refused to Provide Information About Traffic Conditions.,Customer Service & Staff Complaints
Outside passengers were walking on the platform.,Security & Safety Concerns
Pest infested within the railways.,Coach Cleanliness & Hygiene
Waste was left behind on the platform.,Coach Cleanliness & Hygiene
One member of your staff was unaware of the train timetable.,Customer Service & Staff Complaints
Sea water was being pumped into the compartments.,Coach Cleanliness & Hygiene
There was a foul smell external to the compartment.,Coach Cleanliness & Hygiene
No prior update about the delayed train.,Train Delays & Cancellations
Okinawatrain had unauthorized stops.,Security & Safety Concerns
Frequently delayed trains are causing problem.,Train Delays & Cancellations
A previous cancellation without notice.,Ticketing & Reservation Issues
Refund for my cancelled ticket hasnot been processing yet.,Ticketing & Reservation Issues
Forced overhead traffic police station on the highway.,Train & Station Infrastructure
Male staffmembers treated female passengers worse.,Customer Service & Staff Complaints
Unauthorized people wereopening passports.,Security & Safety Concerns
Ground officials rejected my claim completely.,Ticketing & Reservation Issues
This train had unauthorised passengers travelingwithout tickets.,Ticketing & Reservation Issues
Refund was denied for my cancelled ticket bookING.,Ticketing & Reservation Issues
"Goody items like soap, shampoo and candies were NOT distributed.",Food & Catering Issues
NCA refused to provide any information about train timings.,Train & Station Infrastructure
Maximum waiting time for the normal rail route is 3 hours.,Train Delays & Cancellations
Breakfast Was Not Served Even After Confirmation.,Food & Catering Issues
As there is no security personnel in the wholecoach.,Security & Safety Concerns
Forced drinking had started by some passengers.,Security & Safety Concerns
Meals prepared by the restaurant were salty and unfit to eat.,Food & Catering Issues
Air conditoner didn't work throughout the journey.,Train & Station Infrastructure
"Before departure,no update was given About the delay of the train.",Train Delays & Cancellations
Your website states thatmy tickets were confirmed already.,Ticketing & Reservation Issues
Generators were not used during the full journey.,Train & Station Infrastructure
Warning lights were not operating.,Train & Station Infrastructure
Crew members refused to provide information about train timings.,Train & Station Infrastructure
There is no proper system for claiming lost luggage.,Luggage & Belongings Issues
Speeding trains are causing danger on the highway.,Security & Safety Concerns
Frequent Cancellations Of This Route Are Causing Problems. ,Ticketing & Reservation Issues
Fast food stalls opened within the railways.,Food & Catering Issues
"Before departure, no update was given About the delay of the Train.",Train Delays & Cancellations
Lines were blocked or unclean.,Coach Cleanliness & Hygiene
Servers were rude and unahelpful.,Customer Service & Staff Complaints
Stray animals were roaming on the Railway tracks.,Security & Safety Concerns
As there is no security personnel in the entire coalition.,Security & Safety Concerns
"After confirmation,no update was provided.",Ticketing & Reservation Issues
I witnessed a fistfight between passengers.,Security & Safety Concerns
Crime against passengers was happening on the platform.,Security & Safety Concerns
Seat availability was not confirmed before the train arrival.,Seat Allocation Issues
"Yes, I was able to reserve my seat online.",Seat Allocation Issues
My luggage was missing when I arrived at Mydestination.,Luggage & Belongings Issues
Catering staff overcharges for food items.,Customer Service & Staff Complaints
The air conditioning was not working during the whole journey.,Train & Station Infrastructure
Spiders and other insects were present inside thetrain.,Coach Cleanliness & Hygiene
There was an accident on the railway track.,Security & Safety Concerns
Trash was left floating in the rail tracks.,Train & Station Infrastructure
The overhead fan was not working throughout the journey.,Train & Station Infrastructure
Mumbai Railway Police force was unaware of Train timings.,Train & Station Infrastructure
Free tickets were distributed without any confirmation.,Ticketing & Reservation Issues
Nearest major rail way station is more than 100 kilometers away.,Train & Station Infrastructure
Heavy rain led to the cancellation of the scheduled train.,Ticketing & Reservation Issues
Refund formsy returned by postal mail.,Ticketing & Reservation Issues
Human waste was being thrown into the railway tracks.,Train & Station Infrastructure
Fast food stalls opened outside the train.,Food & Catering Issues
Servers refused to provide information about Train timings.,Train & Station Infrastructure
I am waiting for my ticket confirmation.,Ticketing & Reservation Issues
It was extremely cold with no security personnel.,Security & Safety Concerns
Ordered food never arrived in My Commlce.,Food & Catering Issues
"Whenever there was any foulsmell or odor, nobody did anything.",Coach Cleanliness & Hygiene
As there was no security personnel in the entire coach.,Security & Safety Concerns
WC cleaning staff ignoredmy complaint completely.,Customer Service & Staff Complaints
"Once I have paid, cannot recover my money.",Ticketing & Reservation Issues
There was a foulsmell external to the compartment.,Coach Cleanliness & Hygiene
Pests and bugs were present within the Railway infrastructure.,Train & Station Infrastructure
Window blinds were not closed even when the train ended.,Coach Cleanliness & Hygiene
Forced upprocessing of passengers lead to delay in the scheduled train timing.,Train Delays & Cancellations
The steward mishandled my baggage.,Luggage & Belongings Issues
Toilet was not cleaned for the entire journey.,Coach Cleanliness & Hygiene
Overcrowding inside the train led to safety concerns.,Security & Safety Concerns
Refund for my cancelled ticket hasnot been processed yet.,Ticketing & Reservation Issues
A previous cancellationwithout notice.,Ticketing & Reservation Issues
Several fights and disputes occurred among the passengers.,Security & Safety Concerns
All my documents were missing when I arrived at mydestination.,Security & Safety Concerns
Seats outside the Train were broken and uncomfi…,Train & Station Infrastructure
Response times were very long.,Train Delays & Cancellations
Free WiFi was not available on the platform. ,Ticketing & Reservation Issues
Accidents or incidents happened on the railway tracks.,Security & Safety Concerns
Temperature inside thetrain Was High(>40 degrees C).,Train & Station Infrastructure
There may be a foul smell Inside the compartment.,Coach Cleanliness & Hygiene
Indian officials rejected my claim totally.,Ticketing & Reservation Issues
Meals served had no milk or sugar.,Food & Catering Issues
A railways staff mishandled my baggage.,Customer Service & Staff Complaints
Pest infested inside thetrain.,Coach Cleanliness & Hygiene
The train schedule is highly uncertain.,Train Delays & Cancellations
Good services are being discontinued.,Customer Service & Staff Complaints
Buses running outside the rails caused an accident.,Security & Safety Concerns
Rescheduling of thetrain has become a regular occurrence.,Train Delays & Cancellations
I am waiting for my luggage recovery.,Luggage & Belongings Issues
NTT trains have no direct connection with railway infrastructure.,Train & Station Infrastructure
Staff rejected my claim completely.,Customer Service & Staff Complaints
India Airlines did not confirm my booking.,Ticketing & Reservation Issues
The airconditioning was not Working during the whole journey.,Train & Station Infrastructure
Doors opened automatically even when there was no passenger.,Coach Cleanliness & Hygiene
Lighting fixtures were not installed in the railway tracks.,Train & Station Infrastructure
There wasn't any drinking wateravailableat the station.,Train & Station Infrastructure
Update on the schedule of the train.,Train Delays & Cancellations
Toilets weren’t cleaned for the whole journeypc.,Coach Cleanliness & Hygiene
Carriers refused to provide information about Train timetables.,Train Delays & Cancellations
Trash was left outside thetrain.,Coach Cleanliness & Hygiene
Pests and bugs were presentinside the train.,Coach Cleanliness & Hygiene
Usual waiting hall with no proper seating arrangement.,Seat Allocation Issues
I am still awaiting My Refund.,Ticketing & Reservation Issues
Frequent cancellations ofthisroutearecauseofproblems.,Ticketing & Reservation Issues
As there Is NO security personnel in the entire coach.,Security & Safety Concerns
Online reservations do not Work.,Ticketing & Reservation Issues
Two trains ranwithout any delay.,Train Delays & Cancellations
Some passengers ignored the traffic rules.,Customer Service & Staff Complaints
Inflatable devices used as safety measures.,Security & Safety Concerns
The railways should take immediate action against the unauthorized use of trains.,Security & Safety Concerns
Passengers refused to provide information abouttrain timelines. ,Train Delays & Cancellations
A railway staff mishandled my baggage.,Customer Service & Staff Complaints
Frequent cancelation of this route is causing problem.,Train Delays & Cancellations
"My wallet was stolen, and NO help wasprovided.",Security & Safety Concerns
Buses run outside the Railway tracks.,Train & Station Infrastructure
There is a fence without any barrier.,Coach Cleanliness & Hygiene
Breakfast wasn't supplied even after confirmation.,Food & Catering Issues
Schedule was heavily influenced by weather conditions.,Train Delays & Cancellations
"After confirmation, no update was given About thedelay of the train.",Train Delays & Cancellations
Attendants refused to provide information about train timings.,Train & Station Infrastructure
Spiders and other insects were present within the railway infrastructure.,Train & Station Infrastructure
I had no previous cancellation update aboutthis route.,Ticketing & Reservation Issues
Steps were not provided to enter the railway premises.,Coach Cleanliness & Hygiene
Pest that carries disease was allowed to roam on the railway tracks.,Coach Cleanliness & Hygiene
No drinking water Was available at the station.,Train & Station Infrastructure
I am still waiting for my ticket confirmation.,Ticketing & Reservation Issues
There is no drinking water available at the station.,Train & Station Infrastructure
"Before departure, no update was given About the delay of the train.",Train Delays & Cancellations
Maximum weight permitted for bags was 50 kgs.,Seat Allocation Issues
I couldn’t reserve my seat online.,Seat Allocation Issues
Hotels near the Train Station had high costs.,Train & Station Infrastructure
Stray Animals Were Roamed On The Rail Track.,Security & Safety Concerns
NCA refused to provide any information about train timetables.,Train Delays & Cancellations
Outside food and drink were allowed on the Platform.,Food & Catering Issues
"My wallet was stolen, and Nobody Helpme.",Security & Safety Concerns
Lonely train platforms with no security personnel.,Security & Safety Concerns
Agents from other companies were selling tickets.,Ticketing & Reservation Issues
Cast members of the movie were seated inside the train.,Seat Allocation Issues
The air conditoner wasn't working during the entire journey.,Train & Station Infrastructure
No advance update about the delay of thetrain.,Train Delays & Cancellations
They refused to give information about train timetables.,Train Delays & Cancellations
Recent improvements in the Railway infrastructure are not being implemented.,Train & Station Infrastructure
Refund for my canceled ticket has NOT been processed yet.,Ticketing & Reservation Issues
Heated seats didnot work during the entire journey.,Seat Allocation Issues
"Before departuring, there was an foulsmell inside the baggage compartment.",Luggage & Belongings Issues
Weight limit for bags varies among railway companies.,Luggage & Belongings Issues
Crew members rejected my claim completely.,Ticketing & Reservation Issues
The website is non-functional.,Ticketing & Reservation Issues
Hotels near the Train Station had high prices.,Train & Station Infrastructure
"Due to heavy rain, the train was delayed bymorethan 5 hours.",Train Delays & Cancellations
The air conditioning was not Working during the entire journey.,Train & Station Infrastructure
Pest infested inside the train.,Coach Cleanliness & Hygiene
Seats outside thetrain were broken and uncomfi…,Train & Station Infrastructure
Normal stored goods were sold at the platform.,Food & Catering Issues
Buses had unauthorized stops on the highway.,Security & Safety Concerns
"Unauthorized people were openning passengers"" bags.",Security & Safety Concerns
Passengers refused to provide information about Train timetables.,Train Delays & Cancellations
Spiders and other insects were presentinsidethe train.,Coach Cleanliness & Hygiene
Crewmembers ignoredmy complaint completely.,Customer Service & Staff Complaints
Leaves and branches were broken within the train.,Train & Station Infrastructure
The online reservation system is Notworking.,Ticketing & Reservation Issues
These trains have highly irregular schedules.,Train Delays & Cancellations
Network issues caused the delay in the scheduled train arrival.,Train Delays & Cancellations
The train announced unaired footage of crime happening on the railways.,Security & Safety Concerns
That day there was an foul smell inside the compartment.,Coach Cleanliness & Hygiene
There was no security force in the entirecoach.,Security & Safety Concerns
I experienced a foul smelling internal coating on the rails.,Coach Cleanliness & Hygiene
Please provide me with information about schedule changes.,Train Delays & Cancellations
Two trains ran without anydelay.,Train Delays & Cancellations
I had never experienced such a long wait for this train.,Train Delays & Cancellations
Stray animals were roamed on the railway tracks.,Security & Safety Concerns
No assistance was given by the staff.,Customer Service & Staff Complaints
Seats that did not move even after confirmation.,Seat Allocation Issues
Refund formy canceled ticket has not been processing yet.,Ticketing & Reservation Issues
Leaves and branches were brokeninside the train.,Train & Station Infrastructure
Attendants refused to provide information about Train timelines.,Train Delays & Cancellations
Forced upprocessing of passengers led to delay in the scheduled train timing.,Train Delays & Cancellations
Last minute changes in the train schedule.,Train Delays & Cancellations
These trains are causing a problem with the railway infrastructure.,Train & Station Infrastructure
Existing tickets cannot be used for the current trip.,Ticketing & Reservation Issues
There must be an efficient system for disputes between passengers and the company.,Ticketing & Reservation Issues
Little or no information about train timings.,Train & Station Infrastructure
The air conditioning wasn't workin During the entire journey.,Train & Station Infrastructure
There is no security personnel in the entire coach.,Security & Safety Concerns
"My wallet was stolen, and Nobody helpme.",Security & Safety Concerns
TTE allotted my reserved seed to another passenger.,Seat Allocation Issues
Temperature inside the train was highly uncommonly.,Train & Station Infrastructure
Stray Animals Were Roamed On The Railway Track.,Security & Safety Concerns
Overcrowded standing area led to safety issues.,Security & Safety Concerns
Ordered meals Never ArrivedIn My Compartment.,Food & Catering Issues
YOU ARE STOPPING PERSONS ENTERING THE STATION.,Train & Station Infrastructure
Ordered food Never Arised In My Compressor.,Food & Catering Issues
Servers had no knowledge about train timelines.,Train Delays & Cancellations
Airconditioning wasn't Working during the entire journey.,Train & Station Infrastructure
Series oftrain delays is causing problems.,Train Delays & Cancellations
NCA refused to provide any information About train timetables.,Train Delays & Cancellations
I was charged twice formy ticket bookeing.,Ticketing & Reservation Issues
"Before departure, no updatewas givenAbout thedelayofthetrain.",Train Delays & Cancellations
The website is notworking.,Ticketing & Reservation Issues
Okinawa train schedule is significantly different from the scheduled date.,Train Delays & Cancellations
Wild animals or birds were roamling on the railway tracks.,Security & Safety Concerns
I am being charged double for my ticket booking.,Ticketing & Reservation Issues
The platform was highly dirty with no clear cleaning staff.,Customer Service & Staff Complaints
"When I arrived at my destination, there wasn’t any security personnel.",Security & Safety Concerns
No prior update about the delay of the Train.,Train Delays & Cancellations
Your website states that my tickets were canceled.,Ticketing & Reservation Issues
YOU WERE STOPPED OR PURSED WHEN YOU DEPARTED FROM THE SEGMENT.,Security & Safety Concerns
Stray animals were roamed on the Railway Track.,Security & Safety Concerns
Trash was left behind on theplatform.,Coach Cleanliness & Hygiene
Many trains were cancelled without any notification. ,Train Delays & Cancellations
Staff refused to give information about train timetables.,Customer Service & Staff Complaints
Passengers were not allowed to enter the railway premises.,Security & Safety Concerns
Relatives and friends were travelingwithout tickets.,Ticketing & Reservation Issues
Temperature outside the train was highly uncomfortable.,Train & Station Infrastructure
Handling agents of the bus was rude.,Customer Service & Staff Complaints
Sea water was being used as a cooling mechanism.,Coach Cleanliness & Hygiene
You had no drinkingwater available at the station.,Train & Station Infrastructure
Inadequately maintained coaches.,Train & Station Infrastructure
Enclosed space with no ventilation.,Coach Cleanliness & Hygiene
Inadequately trained staff was distributing tickets.,Customer Service & Staff Complaints
TTE allottedmy reserved sea td.,Seat Allocation Issues
As there was no security personnel in the entirecoach.,Security & Safety Concerns
Members of the public were walking on the railway tracks.,Train & Station Infrastructure
My belongages were stolen from the overhead rack.,Luggage & Belongings Issues
Spiders and other bugs were presentinsidethetrain.,Coach Cleanliness & Hygiene
Hotels near the Railway Station were expensive.,Train & Station Infrastructure
Next train announcement is unclear.,Train & Station Infrastructure
The airconditioning Was NOT Working During The Whole Journey.,Train & Station Infrastructure
Wild animals or birds were roaming on the railway track.,Security & Safety Concerns
There may be a french police officer on the platform.,Security & Safety Concerns
Seating arrangements were not aligned when the train arrives.,Seat Allocation Issues
There is an foul smell outside the compartment.,Coach Cleanliness & Hygiene
Seats within the railway premises were NOT allocated even after confirmation.,Seat Allocation Issues
No update about the delay of thetrain. ,Train Delays & Cancellations
Each passenger was charged different rates for traveling.,Ticketing & Reservation Issues
Indian officials refused to provide information about traffic patterns.,Customer Service & Staff Complaints
Airport authorities refused to provide information about train timings.,Train & Station Infrastructure
Attendants refused to Provide Information about Train Timetables. ,Train Delays & Cancellations
No prior updates about the delayed train.,Train Delays & Cancellations
Seat allocations were done randomly.,Seat Allocation Issues
Time schedules are variable and unreliable.,Train Delays & Cancellations
Trash was left behind on the track.,Train & Station Infrastructure
Express trains have become too popular and dangerous.,Train & Station Infrastructure
The overhead fan was not working during the whole journey.,Train & Station Infrastructure
Mumbai Railway Police force was unaware of train timing.,Train & Station Infrastructure
Stray Animals Were Roamed On The Railroad.,Security & Safety Concerns
My luggage was missingwhen I arrived atmy destination.,Luggage & Belongings Issues
NCA rejected my claim completely.,Ticketing & Reservation Issues
Airconditioning wasn'tworking during the entire journey.,Train & Station Infrastructure
Bees and other insects were present inside the train.,Coach Cleanliness & Hygiene
Buses running outside the railways is dangerous.,Train & Station Infrastructure
Outside assistants were providing passenger services.,Customer Service & Staff Complaints
Animal bodies were left outside the train.,Train & Station Infrastructure
No priorupdate about thedelay of thetrain. ,Train Delays & Cancellations
Walkway between the train and the station was broken.,Train & Station Infrastructure
The online my ticket booking is not Working.,Ticketing & Reservation Issues
Maximum wait time for the normal railwayroute is 3 hours.,Train Delays & Cancellations
Surface cracks were not repaired despite claims.,Coach Cleanliness & Hygiene
A train accident without any notification.,Security & Safety Concerns
The meal served was stale and unfit to eat.,Food & Catering Issues
"Partial cancellation of the journey has occurred.
No update about the timing of the delay.",Ticketing & Reservation Issues
Live steam was passing between the tracks.,Train & Station Infrastructure
Ordered food never reachedmy compartment.,Food & Catering Issues
Toilet facilities weren’t cleaned for the whole journal.,Coach Cleanliness & Hygiene
Portion sizes were too small and unpleasant to consume.,Food & Catering Issues
Unauthorized people were openning the cases of other passengers.,Security & Safety Concerns
A train had unauthorised passengers traveling Without tickets.,Ticketing & Reservation Issues
There is an foul smell external to the compartment.,Coach Cleanliness & Hygiene
There was a foulsmell Inside the compartment.,Coach Cleanliness & Hygiene
Breakfast was not served even once.,Food & Catering Issues
No prior update about the delay of the train. ,Train Delays & Cancellations
The fried food was salty and unfit to eat.,Food & Catering Issues
This train had no proper system for claiming lost luggage.,Luggage & Belongings Issues
Wildlife was being trailed along the railway tracks.,Train & Station Infrastructure
Release tickets online is not working.,Ticketing & Reservation Issues
Equipment malfunction led to delays in the scheduled train timing.,Train Delays & Cancellations
Drink容器被打破和冷凝土撬open。,Coach Cleanliness & Hygiene
Escalators at the station were non-working.,Train & Station Infrastructure
Charcuts showed up in the meat.,Food & Catering Issues
Waiting hall had no proper seating arrangement.,Seat Allocation Issues
The air condtioner was not Working during the entire journey.,Train & Station Infrastructure
"Ordered food Never Arrived In My Compartment.
When I Received It, There Was Nothing Left.",Food & Catering Issues
Unofficial travelers were blocking the Platform.,Train & Station Infrastructure
Chalk markings were removed after the train arrived.,Coach Cleanliness & Hygiene
Pests and insects were present Inside the Train.,Coach Cleanliness & Hygiene
Thetrain schedule is highly Unreliable.,Train Delays & Cancellations
There was no drinking water available at the station.,Train & Station Infrastructure
No prior update about delay of the train.,Train Delays & Cancellations
I experienced an f civil aviation accident on the railway track.,Security & Safety Concerns
A previous cancelation without notification.,Train Delays & Cancellations
Toilet facilities were not cleaned for the whole journal.,Coach Cleanliness & Hygiene
Refund for mycancelled ticket hasnot been processing yet.,Ticketing & Reservation Issues
"Once I completed my registration, there is no update.",Ticketing & Reservation Issues
Ordered meat never arrived in my comfort box.,Food & Catering Issues
Beverages sold outside the train were not safe to consume.,Food & Catering Issues
Backpacks and bikes were not allowed to carry baggage.,Luggage & Belongings Issues
Website upgaured with incorrect pricing information.,Ticketing & Reservation Issues
Maximum waiting time for the normal Railway Route is 3 hours.,Train Delays & Cancellations
The platform was extremely dirty and unhygienic.,Coach Cleanliness & Hygiene
Seats inside thetrain were broken.,Train & Station Infrastructure
This Train had unauthorized passengers traveling without tickets.,Ticketing & Reservation Issues
I am being charged double for My Ticket BookING.,Ticketing & Reservation Issues
"My wallet was stolen, and nothing was paid for my ticket.",Ticketing & Reservation Issues
Toilets weren't cleaned for the whole journal.,Coach Cleanliness & Hygiene
Unauthorised people were openning passengers’ bags.,Luggage & Belongings Issues
Frequent cancellation ofthisrouteiscauseofproblems.,Ticketing & Reservation Issues
TTE allottedmy reserved seed to another passenger.,Seat Allocation Issues
Wild animals or birds were roaming onthe railroad.,Security & Safety Concerns
Outside alcohol consumption is permitted.,Seat Allocation Issues
Fees for the project were not announced when the train first came into service.,Customer Service & Staff Complaints
Officials refused to provide information about train timelines.,Train Delays & Cancellations
Last minute changes in the train timing. ,Train & Station Infrastructure
Spiders and other insects were present Inside the train.,Coach Cleanliness & Hygiene
Indian authorities refused to provide information about passenger details.,Customer Service & Staff Complaints
"After confirmation, No Update Was Provided.",Ticketing & Reservation Issues
Portion sizes were too small and unpleasant to taste.,Food & Catering Issues
Seat assignments were not confirmed beforethe train departure.,Seat Allocation Issues
Toilet facilities were not cleaned for the whole journey.,Coach Cleanliness & Hygiene
Staff refused to provide information about Train timings.,Customer Service & Staff Complaints
Airport authorities refused to provide information about schedules.,Train Delays & Cancellations
Braces or wires were inserted into the seat.,Seat Allocation Issues
Toilets were not cleaned for the entire journal.,Coach Cleanliness & Hygiene
My luggage was missing when I arrived Atmy destination.,Luggage & Belongings Issues
As there is no Security Personnel in the Entire Coach.,Security & Safety Concerns
"Whenever there was any foul smell or stink, nobody done anything.",Coach Cleanliness & Hygiene
Good quality sleeping bags are not provided in the coaching.,Luggage & Belongings Issues
This train had unauthorized passengers travelingwithout tickets.,Ticketing & Reservation Issues
There Was No Security Force In The Entirecoach.,Security & Safety Concerns
The coaching was extremely dirty and unhygienic.,Coach Cleanliness & Hygiene
There is an obvious flaw in the railway signal.,Train & Station Infrastructure
Seats that were allocated without my confirmation.,Seat Allocation Issues
I had to pay twice for My Ticket BookING.,Ticketing & Reservation Issues
No prior update about thedelay of thetrain.,Train Delays & Cancellations
First class seats were covered with dirt and stains.,Seat Allocation Issues
My baggage was missing when I arrivdatmy destination.,Luggage & Belongings Issues
Costly alcohol options are available at the station.,Train & Station Infrastructure
Only one entrance was opened all the time.,Train Delays & Cancellations
The platform was highly dirty with nobody cleaning it.,Coach Cleanliness & Hygiene
The platform was very dirty with no clear cleaning Staff.,Customer Service & Staff Complaints
Integrated tickets issued by different tour operators were not compatible.,Ticketing & Reservation Issues
This railway division has no regular updates.,Customer Service & Staff Complaints
Ordered meals never got delivered to my compartment.,Food & Catering Issues
The overhead fan was not working during the entire journey.,Train & Station Infrastructure
Buses running inside the rail tracks is dangerous.,Train & Station Infrastructure
There must be an automatic system to claim lost luggage.,Luggage & Belongings Issues
Packages or clothes were stolen from the bags.,Luggage & Belongings Issues
Website issues prevented me from confirming my ticket Booking.,Ticketing & Reservation Issues
Not enough space for passengers' baggage.,Luggage & Belongings Issues
Okinawa train schedule is heavily influenced by traffic conditions.,Train Delays & Cancellations
Free tickets were distributed without any notice.,Ticketing & Reservation Issues
Animal fecals were left outside the train.,Coach Cleanliness & Hygiene
Forced alcohol consumption by personnel was happening.,Customer Service & Staff Complaints
The air conditioning was notworking during the entire journey.,Train & Station Infrastructure
Those who had previously traveled by Railways were not permitted.,Seat Allocation Issues
Bypassing the station is prohibited.,Train & Station Infrastructure
Share prices of the company have increased lately.,Train Delays & Cancellations
No advance update about thedelay of thetrain.– Train Was Arrived Early By More Than 5 Hours.,Train Delays & Cancellations
Airport authorities refused to provide information About train timings.,Train & Station Infrastructure
Chalk marks were still visible on the floor when the train arrived.,Coach Cleanliness & Hygiene
Chinese personnel was providing services.,Customer Service & Staff Complaints
Schedule für diesem Transportwege ist noch nicht bekannt.,Train Delays & Cancellations
Large fried chicken pieces were removed from the menu.,Food & Catering Issues
"Before departure,no updatewas givenaboutthe delayof the train.",Train Delays & Cancellations
Crew members ignoredmy complaints completely.,Customer Service & Staff Complaints
Terminal fee was not included in the ticket price.,Ticketing & Reservation Issues
"When I arrived at my destination, there was no security staff.",Security & Safety Concerns
The platform was highly dirty with no clear cleansing crew.,Coach Cleanliness & Hygiene
Warning lights were not Working.,Train & Station Infrastructure
There should be a regular bus service between the railways and the city.,Customer Service & Staff Complaints
Frequently delayed trains are causing issues.,Train Delays & Cancellations
"Whenever there is any foul smell or stink, nobody does anything.",Coach Cleanliness & Hygiene
There should be a regular bus service between the train and the city.,Customer Service & Staff Complaints
Initial confusion regarding train timings.,Train & Station Infrastructure
There was an accident on the railroad.,Security & Safety Concerns
Your website cannot be accessed.,Ticketing & Reservation Issues
Water bottles provided weren’t sealed properly.,Food & Catering Issues
Online reservations doNot work.,Ticketing & Reservation Issues
Passenger assault with no punishment imposed.,Security & Safety Concerns
These trains have unaired footages of crime happening on the Railways.,Security & Safety Concerns
My luggage was missing when I arrived atmydestination.,Luggage & Belongings Issues
Coaches were allocated without my registration.,Ticketing & Reservation Issues
My baggage Was Missing When I Reached My Destination.,Luggage & Belongings Issues
Seats placed behind the wall were broken and uncomfortable.,Train & Station Infrastructure
Passenger assault with no punishment implemented. ,Security & Safety Concerns
People refused to provide information about train timings.,Train & Station Infrastructure
Toilets weren’t cleaned for the entire journey.,Coach Cleanliness & Hygiene
Okinawa train had unaired footage of crime happening on the train.,Security & Safety Concerns
Buses running inside the railway premises was dangerous.,Train & Station Infrastructure
NO assistance was given by the personnel.,Customer Service & Staff Complaints
The website is not Working.,Ticketing & Reservation Issues
Multiple fights and disputes occurred among the passengers.,Security & Safety Concerns
